64592,"361 EAST 163rd STREET, BRONX NY 10451",106,40.8265016363636,-73.9149357272727
73440,"710 EAST 243rd STREET, BRONX NY 10470",92,40.9062594693878,-73.8487072244898
65811,"250 EAST 176th STREET, BRONX NY 10457",76,40.847325,-73.9049147
121007,"80 WEST 170th STREET, BRONX NY 10452",70,40.8402387,-73.9222341
355498,"1690 PRESIDENT STREET, BROOKLYN NY 11213",67,40.6668317,-73.9309615
217336,"1119 CARROLL STREET, BROOKLYN NY 11225",63,40.66752645,-73.9524672361081
217335,"1116 CARROLL STREET, BROOKLYN NY 11225",63,40.6672387,-73.9538381
109434,"1221 SHERIDAN AVENUE, BRONX NY 10456",62,40.83464535,-73.9163516511656
122197,"1206 WESTCHESTER AVENUE, BRONX NY 10459",62,40.8258685714286,-73.8893799285714
355164,"1180 PRESIDENT STREET, BROOKLYN NY 11225",61,40.66787245,-73.9514578014889
344337,"2501 NEWKIRK AVENUE, BROOKLYN NY 11226",60,40.639785,-73.953052
23149,"1 JACOBUS PLACE, MANHATTAN NY 10463",58,40.8751991,-73.9122396
51000,"1025 BOYNTON AVENUE, BRONX NY 10472",58,40.8245811,-73.8776577242615
40954,"630 WEST 136th STREET, MANHATTAN NY 10031",56,40.8210006734694,-73.9553549795918
111945,"1149 STRATFORD AVENUE, BRONX NY 10472",54,40.827502,-73.8752312
109435,"1225 SHERIDAN AVENUE, BRONX NY 10456",54,40.8348734,-73.9161285434772
110162,"540 SOUTHERN BOULEVARD, BRONX NY 10455",53,40.8121256,-73.9035909
8148,"3851 BROADWAY, MANHATTAN NY 10032",53,40.8363086666667,-73.9433606666667
769123,"140 PARK HILL AVENUE, STATEN ISLAND NY 10304",51,40.61665005,-74.0807511533767
108500,"2647 SEDGWICK AVENUE, BRONX NY 10468",51,40.863024,-73.9090685
812537,"185 PARK HILL AVENUE, STATEN ISLAND NY 10304",49,40.61516165,-74.0821323900371
66877,"25 EAST 193rd STREET, BRONX NY 10468",48,40.8663995,-73.89704
97763,"437 MORRIS PARK AVENUE, BRONX NY 10460",48,40.8399872,-73.8736606
949009,"681 MAGENTA STREET, BRONX NY 10467",46,40.8754851,-73.8675914835314
107097,"3280 ROCHAMBEAU AVENUE, BRONX NY 10467",46,40.87743565,-73.880450190645
355453,"1616 PRESIDENT STREET, BROOKLYN NY 11213",46,40.667022,-73.9342063
362341,"558 RIVERDALE AVENUE, BROOKLYN NY 11207",45,40.6627639,-73.8952502
81872,"2780 GRAND CONCOURSE, BRONX NY 10458",45,40.8685782,-73.8920625
81881,"2842 GRAND CONCOURSE, BRONX NY 10458",44,40.8697515,-73.8910388
56837,"1229 CLAY AVENUE, BRONX NY 10456",43,40.83272,-73.9106173
115655,"1575 TOWNSEND AVENUE, BRONX NY 10452",43,40.8438907,-73.9142196
67064,"60 EAST 196th STREET, BRONX NY 10468",43,40.8683743,-73.8947099614416
81696,"1420 GRAND CONCOURSE, BRONX NY 10456",42,40.8396122,-73.9128557
21858,"75 FT WASHINGTON AVENUE, MANHATTAN NY 10032",42,40.837622,-73.9442493
51010,"1056 BOYNTON AVENUE, BRONX NY 10472",42,40.8258993,-73.8773907
56547,"2757 CLAFLIN AVENUE, BRONX NY 10468",42,40.87089595,-73.9007002542289
81559,"2380 GRAND AVENUE, BRONX NY 10468",42,40.86140185,-73.9040232192567
108741,"868 FAILE STREET, BRONX NY 10474",42,40.818642,-73.8874387
65791,"124 EAST 176th STREET, BRONX NY 10453",42,40.847852,-73.9089953289786
117106,"2537 VALENTINE AVENUE, BRONX NY 10458",42,40.86340095,-73.8954179313882
119044,"1356 WALTON AVENUE, BRONX NY 10452",41,40.8384294,-73.9166913
105950,"2755 RESERVOIR AVENUE, BRONX NY 10468",41,40.870049,-73.8987672
247358,"1350 EAST 18th STREET, BROOKLYN NY 11230",40,40.61745285,-73.9572511539869
73453,"738 EAST 243rd STREET, BRONX NY 10470",39,40.9061291836735,-73.8482906530612
116449,"592 UNION AVENUE, BRONX NY 10455",39,40.8136956,-73.9048646
43019,"652 WEST 163rd STREET, MANHATTAN NY 10032",39,40.83859655,-73.9445986670401
60496,"2290 DAVIDSON AVENUE, BRONX NY 10468",38,40.8591742,-73.9044368
366397,"509 SARATOGA AVENUE, BROOKLYN NY 11212",38,40.66829455,-73.916905973833
107798,"2342 RYER AVENUE, BRONX NY 10458",38,40.85818475,-73.8983224794875
115286,"976 TINTON AVENUE, BRONX NY 10456",38,40.82349,-73.9023697075406
81698,"1454 GRAND CONCOURSE, BRONX NY 10457",38,40.8397955,-73.9127732
60500,"2344 DAVIDSON AVENUE, BRONX NY 10468",38,40.8596548,-73.9041431
78240,"1738 FILLMORE STREET, BRONX NY 10460",38,40.8439066,-73.8680706818247
108495,"2619 SEDGWICK AVENUE, BRONX NY 10468",38,40.863024,-73.9090685
116657,"2406 UNIVERSITY AVENUE, BRONX NY 10468",37,40.8630661,-73.9044864
79276,"1250 FRANKLIN AVENUE, BRONX NY 10456",37,40.8306051,-73.9025824202111
806375,"1259 CLAY AVENUE, BRONX NY 10456",37,40.8336477,-73.910096
115724,"2510 TRATMAN AVENUE, BRONX NY 10461",36,40.8392797755102,-73.8452621020408
125650,"1072 WOODYCREST AVENUE, BRONX NY 10452",36,40.83432865,-73.9262800092337
43225,"524 WEST 173rd STREET, MANHATTAN NY 10032",36,40.84305955,-73.93569758169
27990,"1447 ST NICHOLAS AVENUE, MANHATTAN NY 10033",36,40.8504331,-73.9331494
81744,"1916 GRAND CONCOURSE, BRONX NY 10457",35,40.8496222,-73.9053286
8225,"4197 BROADWAY, MANHATTAN NY 10033",35,40.8482045,-73.9379705
244894,"972 EAST 14th STREET, BROOKLYN NY 11230",35,40.62564355,-73.9625928932211
81843,"2535 GRAND CONCOURSE, BRONX NY 10468",35,40.8633429,-73.8968546
61671,"2492 DEVOE TERRACE, BRONX NY 10468",34,40.8647814,-73.9044566278805
66206,"306 EAST 180th STREET, BRONX NY 10457",34,40.8523497,-73.8998452
347151,"1001 OCEAN AVENUE, BROOKLYN NY 11226",34,40.6381068,-73.9585338
117797,"3128 VILLA AVENUE, BRONX NY 10468",34,40.87531895,-73.8871561233092
101342,"4575 PARK AVENUE, BRONX NY 10458",34,40.85675915,-73.8945574418126
81691,"1401 GRAND CONCOURSE, BRONX NY 10452",34,40.8386532,-73.9143290307359
51780,"3764 BRONX BOULEVARD, BRONX NY 10467",33,40.8839883,-73.8658759290513
73802,"353 EAST MOSHOLU PARKWAY NORTH, BRONX NY 10467",33,40.8711616,-73.8800659
109334,"1234 SHAKESPEARE AVENUE, BRONX NY 10452",33,40.83791485,-73.9230563825093
534001,"103-35 120th STREET, QUEENS NY 11419",33,40.6873668,-73.8231865027913
352206,"225 PARKSIDE AVENUE, BROOKLYN NY 11226",32,40.6556301,-73.9604347
21849,"66 FT WASHINGTON AVENUE, MANHATTAN NY 10032",32,40.8374303,-73.9436263523616
74521,"1701 EASTBURN AVENUE, BRONX NY 10457",32,40.8445484,-73.9086156
239052,"723 EAST 5th STREET, BROOKLYN NY 11218",32,40.63462705,-73.9735487324679
928988,"2835 BARKER AVENUE, BRONX NY 10467",31,40.8675869,-73.8693614
8793,"268 CABRINI BOULEVARD, MANHATTAN NY 10040",31,40.8558805853588,-73.9378429092546
116089,"1535 UNDERCLIFF AVENUE, BRONX NY 10453",31,40.84696515,-73.9239457519959
81851,"2593 GRAND CONCOURSE, BRONX NY 10468",31,40.86470095,-73.8959724242318
112736,"1058 TELLER AVENUE, BRONX NY 10456",31,40.82887125,-73.9133660162587
66787,"373 EAST 188th STREET, BRONX NY 10458",31,40.8601503,-73.8934793
72056,"666 EAST 233rd STREET, BRONX NY 10466",31,40.893592,-73.8585023
108502,"2707 SEDGWICK AVENUE, BRONX NY 10468",31,40.863024,-73.9090685
84307,"3075 HEATH AVENUE, BRONX NY 10463",31,40.87779045,-73.9019146660471
81722,"1777 GRAND CONCOURSE, BRONX NY 10453",31,40.846721,-73.9094845
114409,"2120 TIEBOUT AVENUE, BRONX NY 10457",31,40.8530993,-73.8985872
59244,"2600 CRESTON AVENUE, BRONX NY 10468",30,40.865214,-73.8962576528338
110181,"643 SOUTHERN BOULEVARD, BRONX NY 10455",30,40.81333375,-73.9010049223383
5500,"1020 AMSTERDAM AVENUE, MANHATTAN NY 10025",30,40.8033668,-73.9638017
67000,"219 EAST 196th STREET, BRONX NY 10458",30,40.86759,-73.8919764
119068,"1715 WALTON AVENUE, BRONX NY 10453",30,40.8462818,-73.9112913
65637,"1016 EAST 174th STREET, BRONX NY 10460",30,40.8357825,-73.8838640501964
47557,"2723 BARNES AVENUE, BRONX NY 10467",30,40.86627555,-73.8637846526098
27351,"765 RIVERSIDE DRIVE, MANHATTAN NY 10032",30,40.83457995,-73.9485905692818
205999,"2574 BEDFORD AVENUE, BROOKLYN NY 11226",29,40.6407346,-73.9546025243974
81746,"1930 GRAND CONCOURSE, BRONX NY 10457",29,40.8500055,-73.9050642
109459,"1510 SHERIDAN AVENUE, BRONX NY 10457",29,40.8408044291761,-73.9113173342192
60123,"2197 CRUGER AVENUE, BRONX NY 10462",29,40.8562305,-73.8667628
50369,"1133 BOSTON ROAD, BRONX NY 10456",29,40.8281857,-73.9040817
81730,"1820 GRAND CONCOURSE, BRONX NY 10457",29,40.8474328,-73.9075255
81891,"2874 GRAND CONCOURSE, BRONX NY 10458",29,40.87040515,-73.8897680649098
118980,"3209 WALLACE AVENUE, BRONX NY 10467",29,40.8718319,-73.8645008202759
119128,"2160 WALTON AVENUE, BRONX NY 10453",29,40.855572,-73.9043869
41975,"475 WEST 145th STREET, MANHATTAN NY 10031",29,40.8250483,-73.94645215
43338,"604 WEST 178th STREET, MANHATTAN NY 10033",29,40.8473848,-73.9358684704351
347221,"1439 OCEAN AVENUE, BROOKLYN NY 11230",28,40.62678355,-73.9561419205897
327596,"93 LINDEN BOULEVARD, BROOKLYN NY 11226",28,40.6524352857143,-73.9552801904762
929105,"3333B BROADWAY, MANHATTAN NY 10031",28,40.8199375882353,-73.9550425
287504,"1074 EASTERN PARKWAY, BROOKLYN NY 11213",28,40.66840425,-73.9329912016204
112001,"85 STRONG STREET, BRONX NY 10468",28,40.87129835,-73.8985985233355
79270,"1229 FRANKLIN AVENUE, BRONX NY 10456",28,40.8306681,-73.9033099
22529,"61 HAMILTON PLACE, MANHATTAN NY 10031",28,40.822407,-73.9514652
119033,"1177 WALTON AVENUE, BRONX NY 10452",28,40.834469,-73.91994
346993,"860 NOSTRAND AVENUE, BROOKLYN NY 11225",28,40.66859105,-73.9509051350157
221431,"60 CLARKSON AVENUE, BROOKLYN NY 11226",28,40.65462705,-73.9576328434226
43791,"130 WEST 228th STREET, MANHATTAN NY 10463",27,40.87650985,-73.9088454214423
113364,"1580 THIERIOT AVENUE, BRONX NY 10460",27,40.84011935,-73.8658069136049
65392,"306 EAST 171st STREET, BRONX NY 10457",27,40.840633,-73.915177
66245,"612 EAST 180th STREET, BRONX NY 10457",27,40.84901325,-73.8911832305303
347775,"700 OCEAN AVENUE, BROOKLYN NY 11226",27,40.6457406,-73.9603858
64591,"351 EAST 163rd STREET, BRONX NY 10451",27,40.827825,-73.919336
362833,"119 ROCKAWAY PARKWAY, BROOKLYN NY 11212",27,40.6637825,-73.9226118695518
77585,"805 FAIRMOUNT PLACE, BRONX NY 10460",27,40.84255365,-73.8883214953778
27943,"1238 ST NICHOLAS AVENUE, MANHATTAN NY 10032",27,40.8436133,-73.9376698
66764,"751 EAST 187th STREET, BRONX NY 10458",27,40.8536967,-73.88243
119113,"2069 WALTON AVENUE, BRONX NY 10453",27,40.8539329591837,-73.906162877551
73393,"735 EAST 242nd STREET, BRONX NY 10470",27,40.9054934,-73.8481043
19867,"316 EAST 117th STREET, MANHATTAN NY 10035",26,40.79709545,-73.9365334483383
22520,"35 HAMILTON PLACE, MANHATTAN NY 10031",26,40.8220338,-73.9520856
25929,"192 NAGLE AVENUE, MANHATTAN NY 10034",26,40.8623397,-73.923601128277
374997,"780 ST MARKS AVENUE, BROOKLYN NY 11213",26,40.6748978,-73.9466826
97431,"1870 MORRIS AVENUE, BRONX NY 10453",26,40.8486217,-73.9082433
96836,"1482 MONTGOMERY AVENUE, BRONX NY 10453",26,40.8476774,-73.9208122
371971,"202 SOUTH 2nd STREET, BROOKLYN NY 11211",25,40.71216005,-73.9597564630549
59142,"1995 CRESTON AVENUE, BRONX NY 10453",25,40.85133775,-73.9063508922633
347778,"726 OCEAN AVENUE, BROOKLYN NY 11226",25,40.6449741,-73.9602414
59245,"2608 CRESTON AVENUE, BRONX NY 10468",25,40.865671,-73.8959761
112750,"1081 TELLER AVENUE, BRONX NY 10456",25,40.829552,-73.9134268411393
241982,"788 EAST 10th STREET, BROOKLYN NY 11230",25,40.6299297,-73.9674091811698
103016,"1840 PHELAN PLACE, BRONX NY 10453",25,40.85322875,-73.9160350927132
115529,"1660 TOPPING AVENUE, BRONX NY 10457",25,40.8432041,-73.9057659
80082,"1183 GERARD AVENUE, BRONX NY 10452",25,40.83494995,-73.9209262008767
347340,"1928 OCEAN AVENUE, BROOKLYN NY 11230",25,40.614826,-73.954442
347202,"1299 OCEAN AVENUE, BROOKLYN NY 11230",25,40.630646,-73.957215
24824,"2082 MADISON AVENUE, MANHATTAN NY 10037",25,40.8096862,-73.9379469
264177,"64 EAST 43rd STREET, BROOKLYN NY 11203",25,40.6544481,-73.9377451
231781,"1362 DECATUR STREET, BROOKLYN NY 11237",24,40.69211215,-73.9039305375242
129026,"4112 4th AVENUE, BROOKLYN NY 11232",24,40.6513032,-74.0078523
78263,"1064 FINDLAY AVENUE, BRONX NY 10456",24,40.82934495,-73.9141445481542
39554,"543 WEST 125th STREET, MANHATTAN NY 10027",24,40.814668,-73.9572705
120366,"2454 WEBB AVENUE, BRONX NY 10468",24,40.8650826,-73.9058584670045
120834,"1824 WEEKS AVENUE, BRONX NY 10457",24,40.8475782,-73.9071889
72228,"686 EAST 234th STREET, BRONX NY 10466",24,40.89415535,-73.8574560448517
347795,"810 OCEAN AVENUE, BROOKLYN NY 11226",24,40.6427037,-73.9599926820709
311307,"136 HERKIMER STREET, BROOKLYN NY 11216",24,40.67928085,-73.9488037252667
81982,"750 GRAND CONCOURSE, BRONX NY 10451",24,40.8228148,-73.9243714
81701,"1466 GRAND CONCOURSE, BRONX NY 10457",24,40.8405222,-73.9124582
56827,"1190 CLAY AVENUE, BRONX NY 10456",24,40.83178295,-73.9107137767312
60275,"3230 CRUGER AVENUE, BRONX NY 10467",24,40.87243285,-73.8658880573308
117109,"2544 VALENTINE AVENUE, BRONX NY 10458",24,40.8635507,-73.8947218
81456,"2015 GRAND AVENUE, BRONX NY 10453",24,40.85336235,-73.9101955564489
76121,"41 ELLIOT PLACE, BRONX NY 10452",24,40.8391937,-73.916785
193428,"357 AVENUE P, BROOKLYN NY 11204",23,40.60891825,-73.9743856511183
808271,"697 EVERGREEN AVENUE, BROOKLYN NY 11207",23,40.6861895,-73.908053
27370,"820 RIVERSIDE DRIVE, MANHATTAN NY 10032",23,40.83578205,-73.9452820923815
